TP53
TFAP4
E2F1
E2F3
HBP1
SP1
SP3
TCF3
TFAP2A
TFAP2C
TFAP2E
STAT1
STAT3
STAT5
CEBPA
CEBPB
VDR
RARA
BRCA1
E2F8
TP73
SMAD2
SMAD3
SMAD4
CUX1
CUX2
CDC25A
MYC
HOXA10
NEUROD1
MYOD1
KLF6
KLF4
CDX2
MEOX2
ZBTB17
SOX9
TWIST1
TWIST2
JUN
WT1
TP63
ATF2
AR
FOS
FOXA1
FOXA2
